"","at","value","timestamp"
"1683","2013-06-25T08:46:44.232671Z",9280,2013-06-25 08:46:44
"1684","2013-06-25T08:48:44.245067Z",7203,2013-06-25 08:48:44
"1685","2013-06-25T08:50:44.248517Z",7203,2013-06-25 08:50:44
"1686","2013-06-25T08:52:44.255459Z",9999,2013-06-25 08:52:44
"1687","2013-06-25T08:54:44.269211Z",10837,2013-06-25 08:54:44
"1688","2013-06-25T08:56:44.276628Z",13018,2013-06-25 08:56:44
"1689","2013-06-25T08:58:44.271069Z",307,2013-06-25 08:58:44
"1690"," 2013-06-25T09:00:44.291650Z",13018,2013-06-25 09:00:44
"1691","2013-06-25T09:02:44.298093Z",14472,2013-06-25 09:02:44
"1692","2013-06-25T09:04:44.310167Z",16289,2013-06-25 09:04:44
"1693","2013-06-25T09:06:44.315860Z",18625,2013-06-25 09:06:44
"1694","2013-06-25T09:08:44.326006Z",13018,2013-06-25 09:08:44
"1695","2013-06-25T09:10:44.335880Z",26101,2013-06-25 09:10:44
"1696","2013-06-25T09:12:44.346484Z",26101,2013-06-25 09:12:44
"1697","2013-06-25T09:14:44.350176Z",21740,2013-06-25 09:14:44
"1698","2013-06-25T09:16:44.360986Z",21740,2013-06-25 09:16:44
"1699","2013-06-25T09:18:44.373985Z",21740,2013-06-25 09:18:44
"1700","2013-06-25T09:20:44.383158Z",16289,2013-06-25 09:20:44
"1701","2013-06-25T09:22:44.391435Z",26101,2013-06-25 09:22:44
"1702","2013-06-25T09:24:44.393295Z",32643,2013-06-25 09:24:44
"1703","2013-06-25T09:26:44.403787Z",32643,2013-06-25 09:26:44
"1704","2013-06-25T09:28:44.414335Z",21740,2013-06-25 09:28:44
"1705","2013-06-25T09:30:44.431376Z",26101,2013-06-25 09:30:44
"1706","2013-06-25T09:32:44.431252Z",26101,2013-06-25 09:32:44
"1707","2013-06-25T09:34:44.436007Z",384,2013-06-25 09:34:44
"1708","2013-06-25T09:36:44.446964Z",26101,2013-06-25 09:36:44
"1709","2013-06-25T09:38:44.458435Z",424,2013-06-25 09:38:44
"1710","2013-06-25T09:40:44.461948Z",32643,2013-06-25 09:40:44
"1711","2013-06-25T09:42:44.471555Z",26101,2013-06-25 09:42:44
"1712","2013-06-25T09:44:44.487051Z",483,2013-06-25 09:44:44
"1713","2013-06-25T09:46:44.489462Z",21740,2013-06-25 09:46:44
"1714","2013-06-25T09:48:44.496397Z",32643,2013-06-25 09:48:44
"1715","2013-06-25T09:50:44.506183Z",43545,2013-06-25 09:50:44
"1716","2013-06-25T09:52:44.517675Z",32643,2013-06-25 09:52:44
"1717","2013-06-25T09:54:44.523083Z",43545,2013-06-25 09:54:44
"1718","2013-06-25T09:56:44.530241Z",43545,2013-06-25 09:56:44
"1719","2013-06-25T09:58:44.546835Z",65351,2013-06-25 09:58:44
"1720","2013-06-25T10:00:44.552120Z",43545,2013-06-25 10:00:44
"1721","2013-06-25T10:02:44.582269Z",65351,2013-06-25 10:02:44
"1722","2013-06-25T10:04:44.566830Z",32643,2013-06-25 10:04:44
"1723","2013-06-25T10:06:44.578210Z",32643,2013-06-25 10:06:44
"1724","2013-06-25T10:08:44.581669Z",32643,2013-06-25 10:08:44
"1725","2013-06-25T10:10:44.590117Z",26101,2013-06-25 10:10:44
"1726","2013-06-25T10:12:44.601539Z",26101,2013-06-25 10:12:44
"1727","2013-06-25T10:14:44.607579Z",26101,2013-06-25 10:14:44
"1728","2013-06-25T10:16:44.614348Z",424,2013-06-25 10:16:44
"1729","2013-06-25T10:18:44.627580Z",32643,2013-06-25 10:18:44
"1730","2013-06-25T10:20:44.634348Z",26101,2013-06-25 10:20:44
"1731","2013-06-25T10:22:44.640311Z",43545,2013-06-25 10:22:44
"1732","2013-06-25T10:24:44.652452Z",43545,2013-06-25 10:24:44
"1733","2013-06-25T10:26:44.658007Z",65351,2013-06-25 10:26:44
"1734","2013-06-25T10:28:44.666157Z",65351,2013-06-25 10:28:44
"1735","2013-06-25T10:30:44.677554Z",581,2013-06-25 10:30:44
"1736","2013-06-25T10:32:44.683467Z",43545,2013-06-25 10:32:44
"1737","2013-06-25T10:34:44.693866Z",130767,2013-06-25 10:34:44
"1738","2013-06-25T10:36:44.698002Z",130767,2013-06-25 10:36:44
"1739","2013-06-25T10:38:44.708261Z",1367,2013-06-25 10:38:44
"1740","2013-06-25T10:40:44.715864Z",130767,2013-06-25 10:40:44
"1741","2013-06-25T10:42:44.727423Z",130767,2013-06-25 10:42:44
"1742","2013-06-25T10:44:44.735206Z",130767,2013-06-25 10:44:44
"1743","2013-06-25T10:46:44.751938Z",130767,2013-06-25 10:46:44
"1744","2013-06-25T10:48:44.753408Z",130767,2013-06-25 10:48:44
"1745","2013-06-25T10:50:44.769526Z",130767,2013-06-25 10:50:44
"1747","2013-06-25T10:54:44.776550Z",65351,2013-06-25 10:54:44
"1748","2013-06-25T10:56:44.785263Z",130767,2013-06-25 10:56:44
"1749","2013-06-25T10:58:45.828513Z",130767,2013-06-25 10:58:45
"1750","2013-06-25T11:00:44.802449Z",130767,2013-06-25 11:00:44
"1751","2013-06-25T11:02:44.811322Z",130767,2013-06-25 11:02:44
"1752","2013-06-25T11:04:44.820552Z",130767,2013-06-25 11:04:44
"1753","2013-06-25T11:06:44.829859Z",130767,2013-06-25 11:06:44
"1754","2013-06-25T11:08:44.851864Z",43545,2013-06-25 11:08:44
"1755","2013-06-25T11:10:44.844373Z",65351,2013-06-25 11:10:44
"1756","2013-06-25T11:12:44.851967Z",43545,2013-06-25 11:12:44
"1757","2013-06-25T11:14:44.861670Z",32643,2013-06-25 11:14:44
"1758","2013-06-25T11:16:44.873636Z",65351,2013-06-25 11:16:44
"1759","2013-06-25T11:18:44.878491Z",130767,2013-06-25 11:18:44
"1760","2013-06-25T11:20:44.892165Z",130767,2013-06-25 11:20:44
"1761","2013-06-25T11:22:44.895513Z",130767,2013-06-25 11:22:44
"1762","2013-06-25T11:24:44.931644Z",130767,2013-06-25 11:24:44
"1763","2013-06-25T11:26:44.915411Z",130767,2013-06-25 11:26:44
"1765","2013-06-25T11:30:44.931052Z",130767,2013-06-25 11:30:44
"1767","2013-06-25T11:34:44.950786Z",130767,2013-06-25 11:34:44
"1768","2013-06-25T11:36:44.968627Z",130767,2013-06-25 11:36:44
"1769","2013-06-25T11:38:44.966970Z",130767,2013-06-25 11:38:44
"1770","2013-06-25T11:40:44.977157Z",65351,2013-06-25 11:40:44
"1771","2013-06-25T11:42:44.986054Z",130767,2013-06-25 11:42:44
"1772","2013-06-25T11:44:44.987828Z",65351,2013-06-25 11:44:44
"1773","2013-06-25T11:46:44.999234Z",130767,2013-06-25 11:46:44
"1774","2013-06-25T11:48:45.010979Z",130767,2013-06-25 11:48:45
"1775","2013-06-25T11:50:45.017490Z",65351,2013-06-25 11:50:45
"1776","2013-06-25T11:52:45.022131Z",1367,2013-06-25 11:52:45
"1777","2013-06-25T11:54:45.036012Z",130767,2013-06-25 11:54:45
"1778","2013-06-25T11:56:45.041775Z",130767,2013-06-25 11:56:45
"1779","2013-06-25T11:58:45.049314Z",130767,2013-06-25 11:58:45
"1786","2013-06-25T12:12:45.106264Z",130767,2013-06-25 12:12:45
"1788","2013-06-25T12:16:45.126044Z",130767,2013-06-25 12:16:45
"1792","2013-06-25T12:24:45.159115Z",65351,2013-06-25 12:24:45
"1793","2013-06-25T12:26:45.167593Z",130767,2013-06-25 12:26:45
"1794","2013-06-25T12:28:45.177319Z",130767,2013-06-25 12:28:45
"1802","2013-06-25T12:44:45.243735Z",130767,2013-06-25 12:44:45
"1803","2013-06-25T12:46:45.252835Z",130767,2013-06-25 12:46:45
"1805","2013-06-25T12:50:45.270083Z",130767,2013-06-25 12:50:45
"1806","2013-06-25T12:52:45.278829Z",1367,2013-06-25 12:52:45
"1807","2013-06-25T12:54:45.288456Z",130767,2013-06-25 12:54:45
"1808","2013-06-25T12:56:45.296195Z",130767,2013-06-25 12:56:45
"1809","2013-06-25T12:58:45.305436Z",130767,2013-06-25 12:58:45
